nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Farmer,Angela,45,188.0,87.6,F,non,bac,Occitanie,oui,oui,1840,célibataire,2.0,0.52,2021-03-02,434.0,596.0,500.0
Scott,Tara,37,164.6,95.1,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,2050,marié,5.0,0.5,2025-01-03,634.0,,500.0
Moreno,Dennis,35,170.6,83.3,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3911,divorcé,3.0,0.67,2022-02-26,,,500.0
Stewart,Emily,34,157.9,73.9,F,non,aucun,Île-de-France,oui,oui,3821,marié,5.0,0.04,2020-07-30,,1141.89,500.0
Montes,Joseph,29,165.3,79.0,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,500,marié,,0.5,2022-09-08,,925.87,17137.888522770147
Torres,Victoria,24,169.4,58.2,F,non,aucun,Bretagne,oui,non,3269,célibataire,,0.45,2021-12-01,,,500.0
Ramirez,Peggy,74,155.1,65.4,H,non,bac+2,Normandie,oui,oui,500,veuf,2.0,0.22,2022-10-02,,,500.0
Murphy,Lori,53,181.7,56.7,H,oui,master,Île-de-France,oui,oui,2802,marié,,0.01,2023-07-20,,5000.0,21691.867312082977
Harrington,Tommy,58,181.7,59.0,F,oui,bac+2,Corse,non,oui,832,marié,,0.51,2021-09-10,689.0,,23167.904430812967
Becker,Norma,32,167.1,76.5,H,non,doctorat,Île-de-France,oui,non,4635,célibataire,5.0,0.8,2020-10-05,,10000.0,1986.2237285384026
Brown,Nicholas,51,152.9,70.6,F,oui,master,Provence-Alpes-Côte d’Azur,non,non,500,divorcé,4.0,0.96,2022-09-04,,10000.0,500.0
Crosby,Nicole,22,170.3,84.1,H,non,aucun,Hauts-de-France,oui,oui,900,,3.0,0.14,2022-05-02,,,500.0
Watts,Michael,58,172.7,76.4,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,3853,marié,2.0,0.4,2024-10-28,656.0,10000.0,500.0
Moore,Deborah,49,174.6,70.0,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,2203,marié,,0.8,2021-11-28,,866.27,16750.901381517804
Smith,Molly,66,156.9,73.7,H,non,doctorat,Corse,non,non,1672,célibataire,5.0,0.12,2024-04-08,620.0,,500.0
Grimes,Joseph,71,169.5,63.8,H,non,master,Auvergne-Rhône-Alpes,non,oui,2267,,,0.12,2021-01-05,818.0,10000.0,27822.252656610322
Hogan,William,44,166.2,56.4,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2350,,4.0,0.08,2020-08-11,,10000.0,12238.402238366429
Moore,Mallory,28,180.5,73.1,H,oui,master,Île-de-France,non,non,2182,marié,3.0,0.02,2024-12-17,,10000.0,18547.59442206578
Herman,Angela,33,184.1,68.2,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,923,veuf,3.0,0.57,2021-07-22,,,500.0
Miles,Tracy,46,180.0,80.4,F,non,master,Hauts-de-France,oui,non,2214,,3.0,0.86,2025-06-09,464.0,10000.0,500.0
Sharp,Patricia,52,166.9,66.4,F,non,bac,Corse,non,non,1959,,5.0,0.5,2025-06-05,,5000.0,500.0
Howard,Timothy,30,184.7,82.7,F,non,bac,Occitanie,oui,oui,2687,célibataire,,0.65,2020-04-03,,5000.0,500.0
Brown,Michael,27,183.9,60.6,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,1788,marié,,0.9,2025-05-21,461.0,10000.0,500.0
Harrison,Amy,38,182.2,92.7,F,oui,master,Corse,non,non,2125,divorcé,,0.93,2021-10-06,786.0,10000.0,500.0
Mueller,Meghan,24,172.9,42.6,F,non,bac+2,Île-de-France,oui,oui,1389,célibataire,1.0,0.6,2021-06-04,,793.17,1366.7152302536567
Conley,Jeffrey,31,151.7,72.7,F,oui,aucun,Corse,oui,oui,2850,marié,,0.89,2021-01-30,,10000.0,500.0
Diaz,John,30,153.3,66.0,F,oui,master,Corse,oui,non,1809,veuf,4.0,0.28,2025-03-16,763.0,5000.0,500.0
Lee,Keith,24,171.2,80.3,H,oui,master,Auvergne-Rhône-Alpes,oui,non,4370,marié,,0.15,2024-06-05,804.0,10000.0,7915.101090898372
Martin,Melanie,20,161.2,37.6,F,oui,master,Bretagne,oui,oui,4778,,0.0,0.4,2021-06-23,,,28396.908742389693
Contreras,Wesley,72,171.5,97.1,H,non,doctorat,Île-de-France,oui,oui,725,veuf,,0.8,2025-04-18,,10000.0,18632.935842358966
Morales,Tina,19,169.3,79.9,F,non,aucun,Île-de-France,oui,non,2124,célibataire,,0.53,2023-03-18,511.0,5000.0,500.0
Curtis,Devin,49,160.0,72.3,H,non,bac,Normandie,non,oui,3422,,,0.6,2020-01-07,640.0,,14326.37709078331
Morgan,Lance,47,188.7,73.5,F,non,bac,Hauts-de-France,oui,oui,3838,,2.0,0.5,2022-08-27,,5000.0,500.0
Lee,Travis,29,167.4,70.9,H,oui,aucun,Hauts-de-France,oui,oui,660,célibataire,,0.64,2024-12-25,499.0,,500.0
Mejia,Paul,64,169.6,60.7,F,non,master,Île-de-France,non,oui,2071,veuf,3.0,0.6,2021-05-20,,10000.0,16528.519173978777
White,Deborah,75,178.4,54.2,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2714,marié,,0.88,2023-03-27,734.0,10000.0,4704.9737016730005
Cox,Hunter,39,190.1,82.8,F,oui,bac,Occitanie,non,oui,2783,veuf,1.0,0.83,2021-04-30,357.0,577.66,12733.330382969949
Hall,Charles,60,162.6,77.6,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,1788,divorcé,,0.56,2024-11-01,726.0,5000.0,10540.674784050036
Hale,Christopher,31,181.1,69.4,H,oui,master,Hauts-de-France,oui,oui,2600,divorcé,5.0,0.98,2025-05-12,,5000.0,6156.501558240514
Taylor,Stacy,26,159.7,99.5,H,non,doctorat,Occitanie,oui,non,3008,célibataire,4.0,0.05,2024-07-23,484.0,,500.0
Martinez,David,28,160.2,92.5,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,500,célibataire,0.0,0.4,2024-05-08,805.0,5000.0,500.0
Wagner,Daniel,21,168.4,71.1,F,oui,doctorat,Hauts-de-France,oui,oui,3695,marié,,0.17,2022-04-26,777.0,5000.0,22775.8955135935
Spencer,Lisa,70,172.9,70.9,F,oui,doctorat,Hauts-de-France,oui,oui,3304,marié,,0.28,2025-01-08,497.0,5000.0,8853.723228062805
Adams,Holly,42,185.9,57.8,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,897,célibataire,,0.05,2025-05-15,,5000.0,11778.343548052928
Frank,Vanessa,62,184.7,67.1,F,oui,master,Île-de-France,non,oui,4278,célibataire,5.0,0.7,2022-01-12,455.0,10000.0,31072.702663736723
Yoder,Kristine,37,181.5,91.8,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,3072,célibataire,,0.56,2022-01-23,373.0,,21531.409941811824
Estrada,Marcus,34,174.5,75.3,H,non,aucun,Occitanie,oui,oui,2537,divorcé,0.0,0.97,2025-04-03,,10000.0,500.0
Coleman,Diana,37,164.1,74.1,F,non,master,Auvergne-Rhône-Alpes,non,non,4525,veuf,2.0,0.81,2024-12-10,761.0,949.24,10946.391315339892
Robles,Robert,30,163.1,84.3,H,non,master,Bretagne,non,non,1295,veuf,,0.52,2020-05-02,,,500.0
Peterson,Catherine,75,176.9,66.4,F,oui,doctorat,Occitanie,oui,non,1859,célibataire,4.0,0.02,2021-10-06,,547.03,500.0
Holland,Dorothy,34,181.6,66.8,H,oui,bac+2,Hauts-de-France,oui,oui,1566,célibataire,5.0,0.28,2020-05-22,418.0,,1992.4825524566775
Baker,Roy,55,172.2,91.8,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3929,marié,5.0,0.4,2025-05-29,506.0,,15002.912094814255
Taylor,Michael,32,143.5,82.1,H,oui,aucun,Bretagne,oui,non,3770,divorcé,,0.4,2022-11-08,,,500.0
Diaz,Andres,71,175.2,71.9,H,oui,aucun,Corse,oui,non,4747,marié,,0.12,2020-11-04,400.0,5000.0,500.0
Fields,Sarah,44,168.8,56.1,H,non,master,Normandie,oui,oui,3214,marié,2.0,0.82,2020-04-25,402.0,,10488.968596578907
Moore,Joseph,70,169.1,75.5,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,4602,divorcé,,0.36,2025-02-04,,,28770.26971420019
Nelson,Thomas,60,165.9,67.6,F,non,bac+2,Occitanie,non,non,3203,veuf,,0.12,2020-08-29,440.0,944.44,500.0
Johnson,Scott,70,165.1,77.1,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,3865,célibataire,3.0,0.52,2024-07-06,,1128.66,37282.162849122215
Beck,Ronald,54,180.3,75.4,H,oui,aucun,Normandie,non,oui,1851,marié,2.0,0.67,2023-10-12,,348.33,10767.439217607673
Weber,Abigail,61,160.7,83.0,H,oui,master,Occitanie,non,oui,1598,marié,,0.39,2024-06-24,321.0,10000.0,24759.669493278125
Herring,William,56,177.9,61.9,F,non,aucun,Bretagne,non,oui,1770,veuf,3.0,0.83,2022-11-08,352.0,185.52,4161.441442592443
Perez,Jeffrey,33,168.1,88.1,H,oui,master,Bretagne,non,oui,1083,marié,4.0,0.49,2022-01-29,,10000.0,20879.755904736496
Watkins,Joshua,63,183.7,56.2,F,non,doctorat,Hauts-de-France,oui,oui,3127,,,0.17,2023-06-10,,5000.0,14801.426364952235
Nichols,Elizabeth,33,193.2,42.5,H,oui,bac,Normandie,oui,oui,3041,marié,1.0,0.66,2021-03-13,,627.58,11145.183005926978
Barber,Jodi,34,163.0,81.6,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,2741,divorcé,0.0,0.6,2022-07-22,573.0,,500.0
Garner,Samuel,47,167.4,59.2,F,oui,doctorat,Bretagne,oui,oui,3059,veuf,2.0,0.69,2022-02-05,,,28698.200373046937
Lopez,Kenneth,26,184.2,77.3,F,oui,aucun,Hauts-de-France,oui,oui,2663,,2.0,0.51,2023-11-30,843.0,748.46,500.0
Rivera,Phillip,46,168.0,66.4,H,non,doctorat,Occitanie,oui,oui,3361,marié,,0.65,2020-08-18,,10000.0,16872.53990370362
Gonzalez,Karen,40,155.4,82.9,F,non,doctorat,Normandie,oui,non,2530,divorcé,,0.7,2024-02-29,454.0,10000.0,500.0
Bird,Dustin,43,177.3,83.2,H,oui,doctorat,Occitanie,non,oui,2660,veuf,,0.53,2020-03-04,837.0,926.62,37114.160550787055
Maldonado,Jacqueline,55,168.4,80.0,H,oui,doctorat,Normandie,non,oui,500,,4.0,0.97,2020-09-26,718.0,559.26,29358.177695611375
West,Yvonne,18,158.6,77.5,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2023,marié,0.0,0.89,2023-01-16,,1032.32,500.0
Wilson,Elizabeth,62,171.4,77.2,H,non,bac+2,Corse,non,oui,904,marié,5.0,0.29,2021-08-15,561.0,1065.43,6712.726721442828
Pugh,Stephanie,45,173.3,68.6,H,non,doctorat,Île-de-France,non,non,568,veuf,4.0,0.51,2023-07-13,,10000.0,500.0
Martinez,Isaac,29,175.2,69.5,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,3624,veuf,0.0,0.21,2025-04-01,,1073.5,500.0
Cox,Curtis,30,170.6,54.3,F,oui,master,Occitanie,non,oui,2285,marié,,0.07,2021-09-27,,5000.0,24341.030046911295
Cooper,Timothy,74,159.7,95.8,H,non,master,Île-de-France,oui,oui,1823,veuf,0.0,0.26,2024-02-06,,5000.0,9958.305010076558
Hunter,Anna,42,173.8,71.8,F,oui,aucun,Bretagne,non,oui,2040,,3.0,0.29,2022-10-18,521.0,10000.0,15699.8867602253
Jenkins,Richard,23,177.7,66.9,H,non,aucun,Occitanie,oui,non,1059,célibataire,,0.72,2022-11-28,,-19.16,500.0
Nunez,Tonya,41,179.5,65.6,F,non,bac+2,Bretagne,non,oui,2321,marié,1.0,0.53,2021-12-25,,5000.0,15785.751255071551
Hayes,Diane,30,179.1,71.9,F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,5481,divorcé,,0.08,2024-12-09,307.0,5000.0,22240.901666635506
Pierce,Kathryn,23,162.2,72.1,H,oui,bac,Auvergne-Rhône-Alpes,oui,non,3627,veuf,,0.77,2022-10-08,,,500.0
Reed,David,74,171.8,61.8,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1216,divorcé,1.0,0.79,2024-10-29,,5000.0,11292.029477601951
Stark,Joshua,22,190.0,63.9,H,oui,bac,Bretagne,oui,oui,1731,divorcé,2.0,0.25,2021-11-18,,5000.0,4529.690297241665
Conley,Julia,71,155.9,37.0,H,non,aucun,Occitanie,non,non,4762,,4.0,0.03,2023-05-04,396.0,1486.62,500.0
Clark,Melissa,41,175.3,73.0,F,oui,bac+2,Hauts-de-France,non,oui,3480,divorcé,3.0,0.86,2020-02-22,,10000.0,17264.275901828485
Poole,Jennifer,18,168.4,73.9,F,non,aucun,Auvergne-Rhône-Alpes,non,non,4463,marié,,0.15,2022-11-23,747.0,,500.0
Gregory,Alexandria,18,170.9,61.7,F,non,doctorat,Île-de-France,non,oui,1668,divorcé,,0.83,2023-03-06,514.0,1149.82,25390.88273988203
Smith,Rhonda,36,193.8,73.4,H,non,bac,Bretagne,oui,oui,974,,,0.18,2022-06-05,,650.62,500.0
Martinez,Anthony,41,154.1,97.5,F,non,master,Bretagne,oui,oui,1993,divorcé,3.0,0.47,2025-01-19,384.0,,1281.9229939424142
Barrett,Devin,59,156.8,75.3,H,non,aucun,Normandie,oui,oui,3359,célibataire,,0.58,2020-08-22,,,500.0
Rogers,David,18,162.9,79.1,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2863,,,0.34,2020-01-03,,1064.25,4124.384923241231
Ross,Mark,52,163.6,39.3,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2217,veuf,3.0,0.59,2022-07-03,,5000.0,1703.2091550614111
Vargas,Gregory,44,159.6,84.8,F,oui,master,Île-de-France,oui,oui,3603,marié,,0.34,2023-06-23,,,18161.86602584039
Krueger,Heather,64,170.7,71.5,F,non,doctorat,Corse,non,non,3097,marié,,0.83,2024-10-13,,5000.0,500.0
Reid,James,40,169.0,63.5,H,non,bac+2,Normandie,non,non,2140,célibataire,3.0,0.09,2020-02-01,,798.03,500.0
Reed,Jill,73,178.7,79.1,F,non,bac,Hauts-de-France,oui,oui,2777,divorcé,,0.32,2023-07-07,358.0,1172.07,500.0
Castillo,Carl,56,181.1,72.0,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,1075,,3.0,0.41,2020-01-04,,10000.0,10667.772211678155
Miller,Danny,36,174.3,56.6,H,non,aucun,Bretagne,non,oui,3619,,1.0,0.43,2023-01-15,,10000.0,13279.437907346719
Romero,Adrian,34,174.1,67.6,F,oui,bac+2,Corse,non,oui,2597,veuf,1.0,0.3,2023-11-03,,1552.97,14865.327749582359
Whitaker,Andrew,29,178.3,77.1,H,oui,aucun,Corse,non,oui,3152,célibataire,2.0,0.88,2020-03-12,,,2426.265552876417
Perez,Amanda,25,164.8,42.6,F,non,aucun,Bretagne,non,oui,3243,célibataire,,0.56,2021-02-03,483.0,522.19,500.0
Turner,Zachary,59,172.1,66.4,H,oui,doctorat,Normandie,oui,oui,1484,,,0.25,2022-12-09,486.0,5000.0,17717.330429437272
Hansen,Jessica,41,165.8,82.8,H,oui,bac+2,Corse,non,oui,1797,divorcé,3.0,0.31,2024-03-11,,283.86,10146.957094539637
Reed,Andrea,74,151.8,51.9,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,2986,divorcé,0.0,0.74,2020-12-19,,5000.0,11837.808210233152
Bauer,Christopher,24,165.3,66.9,F,oui,aucun,Bretagne,non,oui,1930,marié,3.0,0.32,2024-11-14,599.0,948.83,10379.81877962131
Anderson,Dawn,73,166.9,69.0,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,4771,veuf,0.0,0.47,2020-12-20,630.0,,19719.501788614598
Hawkins,Kathy,60,167.8,39.7,F,non,aucun,Occitanie,non,non,2600,marié,2.0,0.26,2023-09-09,,10000.0,500.0
Gilbert,Ashlee,22,189.5,92.8,F,non,bac+2,Normandie,non,non,1878,divorcé,,0.93,2020-08-09,,,500.0
Flowers,John,75,160.8,68.2,H,non,bac+2,Auvergne-Rhône-Alpes,non,non,4778,célibataire,0.0,0.64,2024-05-06,614.0,5000.0,8980.312053464007
Stuart,Brittany,75,160.7,89.3,H,oui,bac,Île-de-France,oui,non,2248,célibataire,0.0,0.02,2023-04-30,,10000.0,500.0
Cantu,Brian,41,163.7,84.2,F,non,bac,Hauts-de-France,oui,oui,3039,,,0.92,2022-04-16,,883.63,500.0
Mathews,Timothy,40,171.7,58.2,F,non,bac,Île-de-France,oui,non,1899,veuf,5.0,0.11,2020-10-18,342.0,,500.0
Coleman,Monica,39,163.6,40.5,H,non,aucun,Île-de-France,oui,non,3230,célibataire,,0.31,2024-09-03,,10000.0,500.0
Santos,Zachary,47,179.2,67.9,H,oui,aucun,Île-de-France,non,oui,3789,divorcé,,0.68,2020-07-06,377.0,,18509.20677497533
Li,Teresa,57,174.0,83.7,H,oui,bac,Corse,non,oui,4207,célibataire,1.0,0.78,2023-06-04,718.0,,21549.824019111966
Bailey,Jennifer,69,181.4,37.9,F,oui,bac,Île-de-France,oui,oui,1435,célibataire,,0.24,2021-08-07,304.0,,500.0
Leon,Christopher,32,172.4,46.2,H,non,master,Corse,non,non,1861,,,0.78,2020-08-13,,5000.0,500.0
Horton,Katherine,74,179.6,79.9,F,oui,bac+2,Occitanie,oui,non,1998,divorcé,3.0,0.59,2023-05-03,774.0,,500.0
Campbell,Danielle,55,185.8,54.9,F,oui,doctorat,Normandie,oui,oui,602,veuf,4.0,0.35,2023-11-24,,10000.0,5428.047793885788
Bowers,Jennifer,40,177.6,85.5,F,oui,master,Normandie,oui,oui,3474,célibataire,4.0,0.71,2021-03-04,496.0,1278.27,16752.789752354092
Fox,Thomas,56,160.5,66.6,F,non,doctorat,Bretagne,non,oui,1908,marié,5.0,0.47,2024-12-22,318.0,5000.0,20423.84320730014
Simpson,Curtis,57,176.5,77.0,H,non,doctorat,Corse,oui,oui,1176,marié,0.0,0.32,2020-06-29,,,500.0
Porter,Kenneth,38,160.2,57.8,F,non,aucun,Hauts-de-France,oui,oui,3112,divorcé,,0.7,2020-12-18,822.0,623.38,500.0
Cabrera,Sharon,33,167.5,38.5,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2377,veuf,,0.44,2022-05-18,646.0,5000.0,18901.259369115338
Smith,John,48,156.8,77.6,H,oui,doctorat,Île-de-France,oui,oui,4010,veuf,2.0,0.57,2025-05-28,,10000.0,40137.50246898064
King,Nancy,59,174.4,62.1,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,2448,veuf,,0.33,2020-03-25,,10000.0,500.0
Harris,Scott,41,172.6,62.4,F,non,bac+2,Île-de-France,oui,non,4319,célibataire,5.0,0.08,2020-01-27,,,500.0
Paul,Jason,43,153.2,69.8,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4897,veuf,0.0,0.27,2023-09-14,768.0,10000.0,35962.04802835945
Andrade,Richard,45,168.0,58.7,F,non,bac,Provence-Alpes-Côte d’Azur,non,non,4231,marié,2.0,0.06,2021-10-03,,5000.0,500.0
Rivers,Derrick,61,167.0,57.3,H,non,doctorat,Normandie,oui,oui,2261,,,0.73,2023-01-13,762.0,734.6,24528.671120857394
Smith,Rachel,21,162.0,79.6,H,non,aucun,Hauts-de-France,oui,oui,645,veuf,4.0,0.03,2025-01-08,818.0,10000.0,500.0
Bryant,Ashley,22,160.4,73.5,F,oui,master,Provence-Alpes-Côte d’Azur,non,non,3191,veuf,,0.74,2020-02-06,,10000.0,3639.7413556351794
Smith,Cody,75,147.7,54.3,F,non,master,Bretagne,non,non,2452,marié,4.0,0.49,2023-12-18,380.0,,500.0
Stein,Alicia,60,164.2,79.5,H,oui,master,Île-de-France,non,oui,2571,,2.0,0.41,2020-04-15,,10000.0,33049.468422152735
Cummings,Scott,44,150.0,57.9,F,non,bac+2,Hauts-de-France,non,oui,4154,célibataire,,0.76,2022-01-18,,5000.0,10656.888595824801
Shepherd,Elizabeth,21,179.9,48.9,F,oui,bac+2,Occitanie,non,non,969,marié,,0.02,2024-12-02,,731.72,500.0
Crawford,Joseph,29,178.0,76.3,H,non,bac,Île-de-France,oui,oui,3121,célibataire,1.0,0.72,2022-07-10,701.0,5000.0,7051.1771065952
Bailey,Victoria,25,166.1,82.6,F,non,master,Occitanie,non,non,3384,divorcé,,0.65,2020-08-01,630.0,10000.0,500.0
Beard,Joshua,68,185.4,56.5,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2285,célibataire,1.0,0.21,2020-12-16,792.0,10000.0,2724.9198051534495
Patton,Debbie,27,157.7,52.5,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2483,,2.0,0.99,2025-02-20,666.0,33.29,26282.620988748466
Gonzalez,Kara,72,157.2,64.2,F,non,bac,Hauts-de-France,non,oui,2466,veuf,,0.16,2022-01-16,801.0,,5070.610961595275
Mayer,Rebecca,72,162.2,54.9,F,oui,doctorat,Bretagne,non,non,2684,veuf,,0.78,2021-12-04,,5000.0,15080.08702060483
Miller,Kevin,35,178.6,70.5,H,oui,aucun,Hauts-de-France,non,oui,4243,veuf,2.0,0.02,2022-08-19,359.0,10000.0,14306.900020371317
Barber,Adam,44,154.9,67.5,F,non,bac,Occitanie,non,oui,2265,,,0.22,2024-04-12,,10000.0,6693.74203294808
Jackson,Kelly,23,153.4,74.9,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,3055,célibataire,,0.35,2020-06-15,385.0,,1798.0125221383746
Warren,Paul,42,170.7,87.0,F,oui,doctorat,Île-de-France,non,non,1203,,,0.38,2024-06-03,,,10497.778053549608
Koch,Dylan,62,165.3,86.1,F,non,aucun,Corse,oui,non,4340,célibataire,2.0,0.7,2021-12-19,698.0,1004.67,500.0
Dawson,Mariah,23,170.3,91.7,F,non,aucun,Corse,non,oui,1676,marié,,0.04,2022-08-24,657.0,10000.0,500.0
Elliott,Madison,23,170.8,46.7,H,oui,bac+2,Bretagne,oui,oui,531,divorcé,1.0,0.96,2020-12-17,,,500.0
Guzman,Wanda,22,157.9,31.8,H,non,bac+2,Bretagne,oui,oui,1733,,,0.64,2025-04-08,,1411.64,6372.475344505444
Miller,Matthew,37,166.2,85.2,F,oui,bac,Île-de-France,non,oui,2743,divorcé,5.0,0.49,2021-08-07,,,16741.9804046619
Kennedy,Matthew,27,160.6,71.5,F,oui,doctorat,Occitanie,non,oui,500,veuf,2.0,0.23,2024-10-09,,,14504.604268333092
Ward,Sharon,49,156.9,68.6,H,non,bac+2,Corse,non,oui,1711,veuf,5.0,0.53,2022-06-10,,,500.0
Chapman,Anthony,27,137.6,57.3,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,3193,,,0.07,2021-07-09,,,17151.38822035942
Gomez,Emma,59,172.6,70.3,H,non,doctorat,Hauts-de-France,oui,oui,3498,marié,,0.86,2023-01-15,335.0,459.59,12032.654325077505
Spears,Tonya,41,177.4,82.0,H,oui,bac+2,Occitanie,non,oui,1882,veuf,5.0,0.2,2023-12-26,,,28685.37160497041
Mays,Amy,45,162.2,46.1,F,non,bac,Hauts-de-France,oui,oui,1084,veuf,4.0,0.98,2024-08-11,820.0,10000.0,500.0
Briggs,Amy,73,159.2,67.1,H,non,master,Hauts-de-France,non,non,2345,veuf,,0.86,2022-11-22,346.0,,500.0
Quinn,Cindy,43,161.9,56.7,H,non,aucun,Occitanie,non,oui,2740,divorcé,4.0,0.1,2025-01-30,486.0,773.51,6726.144540197254
Mcguire,Paige,60,165.8,64.5,H,oui,aucun,Bretagne,oui,non,1704,divorcé,,0.3,2021-06-17,,5000.0,500.0
Holder,Henry,57,173.2,54.9,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,871,veuf,,0.47,2024-10-19,706.0,,500.0
Ross,Patrick,64,171.3,71.2,H,non,master,Hauts-de-France,non,oui,2589,veuf,,0.7,2021-10-27,,,20212.703427559845
Edwards,Logan,49,181.9,72.9,F,non,doctorat,Corse,oui,oui,1127,marié,,0.22,2025-06-04,830.0,,5504.582746306162
Wall,Jason,68,181.6,81.4,H,non,master,Hauts-de-France,non,oui,1526,,,0.49,2020-04-01,359.0,,8878.890939012841
Gordon,George,23,162.8,42.8,H,non,bac,Bretagne,non,non,1797,divorcé,1.0,0.04,2024-01-07,595.0,546.16,500.0
Garrison,Richard,40,155.4,74.5,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,2165,marié,1.0,0.84,2022-09-28,846.0,887.1,500.0
Patterson,Amy,72,171.1,60.4,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2676,célibataire,,0.46,2025-04-03,,5000.0,10124.44495985712
Bryant,Stephanie,68,161.0,63.5,F,non,master,Bretagne,oui,oui,2107,divorcé,5.0,0.84,2022-12-03,,688.7,8921.973730630438
